name,opening_hours,address,location,phone_number,rating,price_level,isJapanese,isKorean,isChinese,isMalay,isIndian,isThai,isVietnamese,isWestern,isLocal,isItalian,isMiddleEastern,isInternational,isEuropean,isGerman,isBurmese,isFrench
1st Up Noodle Pte. Ltd.,,"109 North Bridge Rd, Singapore 179097",9,+65 6338 0369,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25 Degrees Burger, Wine & Liquor Bar","[{'close': {'day': 1, 'time': '0300'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 2, 'time': '0300'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 3, 'time': '0300'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 4, 'time': '0300'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 5, 'time': '0300'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 6, 'time': '0300'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 0, 'time': '0300'}, 'open': {'day': 6, 'time': '0700'}}]","200 Middle Rd, Hotel G - Singapore, Singapore 188980",9,+65 6809 7990,3.9,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5 Senses Bistro,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1130'}}]","107 North Bridge Rd, #02-17 Funan Mall, Singapore 179105",9,+65 9297 7353,4.5,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
85 Redhill Teochew Fishball Noodle,"[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1000'}}]","68 Orchard Rd, Plaza Singapura, #B2-39, Singapore 238839",10,,3.4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
李记串串香 Li Ji Chuan Chuan Xiang,"[{'close': {'day': 1, 'time': '0530'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 2, 'time': '0530'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 3, 'time': '0530'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 4, 'time': '0530'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 5, 'time': '0530'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 6, 'time': '0530'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 0, 'time': '0530'}, 'open': {'day': 6, 'time': '1200'}}]","76 Prinsep St, Singapore 188663",8,+65 6251 7717,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AFURI Ramen,"[{'close': {'day': 0, 'time': '1530'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1730'}}, {'close': {'day': 1, 'time': '1530'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1730'}}, {'close': {'day': 2, 'time': '1530'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1730'}}, {'close': {'day': 3, 'time': '1530'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1730'}}, {'close': {'day': 4, 'time': '1530'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1730'}}, {'close': {'day': 5, 'time': '1530'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1730'}}, {'close': {'day': 6, 'time': '1530'}, 'open': {'day': 6, 'time': '1130'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1730'}}]","Funan Mall, #B1-29, 107 North Bridge Rd, Singapore 179105",9,+65 6970 1386,3.1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ah Wah Bak Kut Teh,,"Raffles Blvd, Singapore 189768",8,,2.5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Ajisen Ramen,,"68 Orchard Rd, #04-01, Singapore 238839",10,+65 6266 2581,3.3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajumma's-Funan,"[{'close': {'day': 0, 'time': '1430'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 0, 'time': '2130'}, 'open': {'day': 0, 'time': '1730'}}, {'close': {'day': 1, 'time': '1430'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 1, 'time': '2130'}, 'open': {'day': 1, 'time': '1730'}}, {'close': {'day': 2, 'time': '1430'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 2, 'time': '2130'}, 'open': {'day': 2, 'time': '1730'}}, {'close': {'day': 3, 'time': '1430'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 3, 'time': '2130'}, 'open': {'day': 3, 'time': '1730'}}, {'close': {'day': 4, 'time': '1430'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 4, 'time': '2130'}, 'open': {'day': 4, 'time': '1730'}}, {'close': {'day': 5, 'time': '1430'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 5, 'time': '2130'}, 'open': {'day': 5, 'time': '1730'}}, {'close': {'day': 6, 'time': '1430'}, 'open': {'day': 6, 'time': '1000'}}, {'close': {'day': 6, 'time': '2130'}, 'open': {'day': 6, 'time': '1730'}}]","107 North Bridge Rd, #B1-31 Funan Mall, Singapore 179105",9,+65 8798 2305,3.1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajumma's-The Cathay,"[{'close': {'day': 0, 'time': '2130'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 1, 'time': '2130'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 2, 'time': '2130'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 3, 'time': '2130'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '2130'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 5, 'time': '2130'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 6, 'time': '2130'}, 'open': {'day': 6, 'time': '1130'}}]","B1 @ The Cathay, 2 Handy Road, B1, 23, Singapore 229233",6,+65 9780 3772,4.4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akimitsu,"[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1130'}}]","68 Orchard Road, #04-65 Plaza Singapura, Singapore 238839",10,+65 6264 3390,3.6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
